"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count","fishersPValue","pAdjusted"
"HERB MARKER MINT + HERB MARKER THYME","HERB MARKER PARSLEY",0.01062,0.94175,0.01127,72.30485,194,0,0
"HERB MARKER CHIVES + HERB MARKER PARSLEY","HERB MARKER MINT",0.01001,0.94819,0.01056,72.19255,183,0,0
"HERB MARKER CHIVES + HERB MARKER PARSLEY","HERB MARKER ROSEMARY",0.01001,0.94819,0.01056,72.19255,183,0,0
"HERB MARKER MINT + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01078,0.92925,0.0116,71.94957,197,0,0
"HERB MARKER BASIL + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER PARSLEY",0.01018,0.93,0.01095,71.4029,186,0,0
"HERB MARKER THYME","HERB MARKER ROSEMARY",0.01209,0.93644,0.01292,71.29825,221,0,0
"HERB MARKER ROSEMARY","HERB MARKER THYME",0.01209,0.92083,0.01313,71.29825,221,0,0
"HERB MARKER MINT + HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01073,0.92453,0.0116,70.9828,196,0,0
"HERB MARKER CHIVES","HERB MARKER PARSLEY",0.01056,0.92344,0.01144,70.89962,193,0,0
"HERB MARKER PARSLEY","HERB MARKER CHIVES",0.01056,0.81092,0.01302,70.89962,193,0,0
"HERB MARKER MINT + HERB MARKER PARSLEY","HERB MARKER THYME",0.01062,0.91509,0.0116,70.85389,194,0,0
"HERB MARKER BASIL + HERB MARKER MINT","HERB MARKER ROSEMARY",0.01056,0.92788,0.01138,70.64681,193,0,0
"HERB MARKER BASIL + HERB MARKER THYME","HERB MARKER PARSLEY",0.01056,0.91905,0.01149,70.562,193,0,0
"HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER PARSLEY",0.01111,0.91855,0.01209,70.52396,203,0,0
"HERB MARKER BASIL + HERB MARKER PARSLEY","HERB MARKER THYME",0.01056,0.91038,0.0116,70.48867,193,0,0
"HERB MARKER MINT + HERB MARKER PARSLEY","HERB MARKER ROSEMARY",0.01073,0.92453,0.0116,70.39127,196,0,0
"HERB MARKER BASIL + HERB MARKER MINT","HERB MARKER PARSLEY",0.0104,0.91346,0.01138,70.13312,190,0,0
"HERB MARKER CHIVES","HERB MARKER THYME",0.01034,0.90431,0.01144,70.01859,189,0,0
"HERB MARKER THYME","HERB MARKER CHIVES",0.01034,0.80085,0.01292,70.01859,189,0,0
"HERB MARKER BASIL + HERB MARKER MINT","HERB MARKER THYME",0.01029,0.90385,0.01138,69.98297,188,0,0
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER MINT",0.01018,0.91626,0.01111,69.76145,186,0,0
"HERB MARKER BASIL + HERB MARKER PARSLEY","HERB MARKER ROSEMARY",0.01062,0.91509,0.0116,69.673,194,0,0
"HERB MARKER BASIL + HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01062,0.90654,0.01171,69.60186,194,0,0
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER BASIL",0.01018,0.91626,0.01111,69.47199,186,0,0
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER MINT",0.01073,0.91163,0.01177,69.40907,196,0,0
"HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER MINT",0.01062,0.9108,0.01166,69.34589,194,0,0
"HERB MARKER THYME","HERB MARKER PARSLEY",0.01166,0.90254,0.01292,69.29478,213,0,0
"HERB MARKER PARSLEY","HERB MARKER THYME",0.01166,0.89496,0.01302,69.29478,213,0,0
"HERB MARKER MINT","HERB MARKER CHIVES",0.0104,0.79167,0.01313,69.21591,190,0,0
"HERB MARKER CHIVES","HERB MARKER MINT",0.0104,0.90909,0.01144,69.21591,190,0,0
"HERB MARKER MINT + HERB MARKER THYME","HERB MARKER BASIL",0.01029,0.91262,0.01127,69.19639,188,0,0
"HERB MARKER MINT + HERB MARKER ROSEMARY","HERB MARKER BASIL",0.01056,0.91038,0.0116,69.02625,193,0,0
"HERB MARKER CHIVES","HERB MARKER ROSEMARY",0.01034,0.90431,0.01144,68.85161,189,0,0
"HERB MARKER ROSEMARY","HERB MARKER CHIVES",0.01034,0.7875,0.01313,68.85161,189,0,0
"HERB MARKER PARSLEY","HERB MARKER ROSEMARY",0.01177,0.90336,0.01302,68.77967,215,0,0
"HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01177,0.89583,0.01313,68.77967,215,0,0
"HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER BASIL",0.01056,0.9061,0.01166,68.70218,193,0,0
"HERB MARKER BASIL + HERB MARKER ROSEMARY","HERB MARKER MINT",0.01056,0.90187,0.01171,68.66606,193,0,0
"HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER BASIL",0.01095,0.90498,0.01209,68.61681,200,0,0
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER BASIL",0.01062,0.90233,0.01177,68.41575,194,0,0
"HERB MARKER BASIL + HERB MARKER PARSLEY","HERB MARKER MINT",0.0104,0.89623,0.0116,68.23644,190,0,0
"HERB MARKER BASIL + HERB MARKER THYME","HERB MARKER MINT",0.01029,0.89524,0.01149,68.16119,188,0,0
"HERB MARKER MINT + HERB MARKER PARSLEY","HERB MARKER BASIL",0.0104,0.89623,0.0116,67.9533,190,0,0
"HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER MINT",0.01078,0.8914,0.01209,67.86917,197,0,0
"HERB MARKER PARSLEY","HERB MARKER MINT",0.0116,0.89076,0.01302,67.81996,212,0,0
"HERB MARKER MINT","HERB MARKER PARSLEY",0.0116,0.88333,0.01313,67.81996,212,0,0
"HERB MARKER ROSEMARY","HERB MARKER BASIL",0.01171,0.89167,0.01313,67.60757,214,0,0
"HERB MARKER BASIL","HERB MARKER ROSEMARY",0.01171,0.88797,0.01319,67.60757,214,0,0
"HERB MARKER PARSLEY","HERB MARKER BASIL",0.0116,0.89076,0.01302,67.53855,212,0,0
"HERB MARKER BASIL","HERB MARKER PARSLEY",0.0116,0.87967,0.01319,67.53855,212,0,0
"HERB MARKER THYME","HERB MARKER BASIL",0.01149,0.88983,0.01292,67.46835,210,0,0
"HERB MARKER BASIL","HERB MARKER THYME",0.01149,0.87137,0.01319,67.46835,210,0,0
"HERB MARKER MINT","HERB MARKER ROSEMARY",0.0116,0.88333,0.01313,67.25479,212,0,0
"HERB MARKER ROSEMARY","HERB MARKER MINT",0.0116,0.88333,0.01313,67.25479,212,0,0
"HERB MARKER THYME","HERB MARKER MINT",0.01127,0.87288,0.01292,66.459,206,0,0
"HERB MARKER MINT","HERB MARKER THYME",0.01127,0.85833,0.01313,66.459,206,0,0
"HERB MARKER MINT","HERB MARKER BASIL",0.01138,0.86667,0.01313,65.71203,208,0,0
"HERB MARKER BASIL","HERB MARKER MINT",0.01138,0.86307,0.01319,65.71203,208,0,0
"REGENCY MILK JUG PINK + REGENCY TEAPOT ROSES","REGENCY SUGAR BOWL GREEN",0.01056,0.85398,0.01237,48.46217,193,0,0
"REGENCY TEA PLATE GREEN + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK",0.01396,0.79937,0.01746,47.89162,255,0,0
"REGENCY SUGAR BOWL GREEN + REGENCY TEAPOT ROSES","REGENCY MILK JUG PINK",0.01056,0.82833,0.01275,46.00609,193,0,0
"POPPY'S PLAYHOUSE BATHROOM","POPPY'S PLAYHOUSE LIVINGROOM",0.01023,0.82379,0.01242,45.89356,187,0,0
"POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE BATHROOM",0.01023,0.57012,0.01795,45.89356,187,0,0
"REGENCY TEA PLATE PINK + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE GREEN",0.01396,0.94796,0.01472,45.58418,255,0,0
"REGENCY TEA PLATE PINK","REGENCY TEA PLATE GREEN",0.01521,0.91148,0.01669,43.82997,278,0,0
"REGENCY TEA PLATE GREEN","REGENCY TEA PLATE PINK",0.01521,0.73158,0.0208,43.82997,278,0,0
"GREEN REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE GREEN",0.011,0.89732,0.01226,43.14935,201,0,0
"SET OF 3 WOODEN STOCKING DECORATION","SET OF 3 WOODEN TREE DECORATIONS",0.01198,0.68652,0.01746,42.81497,219,0,0
"SET OF 3 WOODEN TREE DECORATIONS","SET OF 3 WOODEN STOCKING DECORATION",0.01198,0.74744,0.01603,42.81497,219,0,0
"REGENCY SUGAR BOWL GREEN","REGENCY MILK JUG PINK",0.0133,0.75466,0.01762,41.91451,243,0,0
"REGENCY MILK JUG PINK","REGENCY SUGAR BOWL GREEN",0.0133,0.7386,0.018,41.91451,243,0,0
"SET/10 BLUE POLKADOT PARTY CANDLES","SET/10 PINK POLKADOT PARTY CANDLES",0.01012,0.77406,0.01308,41.11736,185,0,0
"SET/10 PINK POLKADOT PARTY CANDLES","SET/10 BLUE POLKADOT PARTY CANDLES",0.01012,0.53779,0.01883,41.11736,185,0,0
"SET OF 3 WOODEN SLEIGH DECORATIONS","SET OF 3 WOODEN TREE DECORATIONS",0.01073,0.65552,0.01636,40.88153,196,0,0
"SET OF 3 WOODEN TREE DECORATIONS","SET OF 3 WOODEN SLEIGH DECORATIONS",0.01073,0.66894,0.01603,40.88153,196,0,0
"JAM JAR WITH PINK LID","JAM JAR WITH GREEN LID",0.01248,0.67059,0.01861,39.9142,228,0,0
"JAM JAR WITH GREEN LID","JAM JAR WITH PINK LID",0.01248,0.74267,0.0168,39.9142,228,0,0
"POPPY'S PLAYHOUSE BEDROOM + POPPY'S PLAYHOUSE KITCHEN","POPPY'S PLAYHOUSE LIVINGROOM",0.01226,0.71565,0.01713,39.8694,224,0,0
"SET OF 3 WOODEN STOCKING DECORATION","SET OF 3 WOODEN SLEIGH DECORATIONS",0.01111,0.63636,0.01746,38.89054,203,0,0
"SET OF 3 WOODEN SLEIGH DECORATIONS","SET OF 3 WOODEN STOCKING DECORATION",0.01111,0.67893,0.01636,38.89054,203,0,0
"BLUE POLKADOT CUP","PINK  POLKADOT CUP",0.01138,0.64,0.01779,38.09355,208,0,0
"PINK  POLKADOT CUP","BLUE POLKADOT CUP",0.01138,0.67752,0.0168,38.09355,208,0,0
"CHILDRENS CUTLERY DOLLY GIRL","CHILDRENS CUTLERY SPACEBOY",0.01248,0.7651,0.01631,37.99099,228,0,0
"CHILDRENS CUTLERY SPACEBOY","CHILDRENS CUTLERY DOLLY GIRL",0.01248,0.61957,0.02014,37.99099,228,0,0
"REGENCY TEA PLATE GREEN + REGENCY TEA PLATE PINK","REGENCY TEA PLATE ROSES",0.01396,0.91727,0.01521,37.75046,255,0,0
"REGENCY TEA PLATE GREEN + ROSES REGENCY TEACUP AND SAUCER","REGENCY TEA PLATE ROSES",0.01133,0.90789,0.01248,37.36478,207,0,0
"POPPY'S PLAYHOUSE KITCHEN + POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE BEDROOM",0.01226,0.85496,0.01434,36.93314,224,0,0
"REGENCY TEA PLATE PINK","REGENCY TEA PLATE ROSES",0.01472,0.88197,0.01669,36.29772,269,0,0
"REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK",0.01472,0.60586,0.0243,36.29772,269,0,0
"REGENCY TEA PLATE ROSES + ROSES REGENCY TEACUP AND SAUCER","REGENCY TEA PLATE GREEN",0.01133,0.75273,0.01505,36.19628,207,0,0
"POPPY'S PLAYHOUSE BEDROOM + POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE KITCHEN",0.01226,0.86154,0.01423,36.10755,224,0,0
"POPPY'S PLAYHOUSE BATHROOM","POPPY'S PLAYHOUSE BEDROOM",0.01034,0.8326,0.01242,35.9671,189,0,0
"POPPY'S PLAYHOUSE BEDROOM","POPPY'S PLAYHOUSE BATHROOM",0.01034,0.44681,0.02315,35.9671,189,0,0
"POPPY'S PLAYHOUSE BATHROOM","POPPY'S PLAYHOUSE KITCHEN",0.01051,0.84581,0.01242,35.44857,192,0,0
"POPPY'S PLAYHOUSE KITCHEN","POPPY'S PLAYHOUSE BATHROOM",0.01051,0.44037,0.02386,35.44857,192,0,0
"BLUE POLKADOT BOWL","PINK POLKADOT BOWL",0.01138,0.64596,0.01762,35.44648,208,0,0
"PINK POLKADOT BOWL","BLUE POLKADOT BOWL",0.01138,0.62462,0.01822,35.44648,208,0,0
"GARAGE KEY FOB","KEY FOB , SHED",0.01095,0.71942,0.01521,35.33883,200,0,0
"KEY FOB , SHED","GARAGE KEY FOB",0.01095,0.53763,0.02036,35.33883,200,0,0
"REGENCY MILK JUG PINK + REGENCY SUGAR BOWL GREEN","REGENCY TEAPOT ROSES",0.01056,0.79424,0.0133,34.97138,193,0,0
"REGENCY TEA PLATE GREEN","REGENCY TEA PLATE ROSES",0.01746,0.83947,0.0208,34.54888,319,0,0
"REGENCY TEA PLATE ROSES","REGENCY TEA PLATE GREEN",0.01746,0.71847,0.0243,34.54888,319,0,0
"POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE BEDROOM",0.01423,0.79268,0.01795,34.24278,260,0,0
"POPPY'S PLAYHOUSE BEDROOM","POPPY'S PLAYHOUSE LIVINGROOM",0.01423,0.61466,0.02315,34.24278,260,0,0
"CHILDRENS CUTLERY POLKADOT PINK + CHILDRENS CUTLERY RETROSPOT RED","CHILDRENS CUTLERY POLKADOT BLUE",0.01045,0.72348,0.01445,33.7251,191,0,0
"POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE KITCHEN",0.01434,0.79878,0.01795,33.47733,262,0,0
"POPPY'S PLAYHOUSE KITCHEN","POPPY'S PLAYHOUSE LIVINGROOM",0.01434,0.60092,0.02386,33.47733,262,0,0
"KEY FOB , BACK DOOR","KEY FOB , SHED",0.01144,0.68078,0.0168,33.44066,209,0,0
"KEY FOB , SHED","KEY FOB , BACK DOOR",0.01144,0.56183,0.02036,33.44066,209,0,0
"SMALL CHOCOLATES PINK BOWL","SMALL MARSHMALLOWS PINK BOWL",0.011,0.81707,0.01346,33.40129,201,0,0
"SMALL MARSHMALLOWS PINK BOWL","SMALL CHOCOLATES PINK BOWL",0.011,0.44966,0.02446,33.40129,201,0,0
"WOODEN HEART CHRISTMAS SCANDINAVIAN + WOODEN TREE CHRISTMAS SCANDINAVIAN","WOODEN STAR CHRISTMAS SCANDINAVIAN",0.01264,0.92771,0.01363,33.17429,231,0,0
"WOODEN HEART CHRISTMAS SCANDINAVIAN + WOODEN STAR CHRISTMAS SCANDINAVIAN","WOODEN TREE CHRISTMAS SCANDINAVIAN",0.01264,0.59536,0.02123,32.18647,231,0,0
"SET OF 12 FAIRY CAKE BAKING CASES + SET OF 12 MINI LOAF BAKING CASES","SET OF 6 SNACK LOAF BAKING CASES",0.01034,0.61765,0.01675,31.8821,189,0,0
"REGENCY SUGAR BOWL GREEN","REGENCY TEAPOT ROSES",0.01275,0.7236,0.01762,31.86118,233,0,0
"REGENCY TEAPOT ROSES","REGENCY SUGAR BOWL GREEN",0.01275,0.56145,0.02271,31.86118,233,0,0
"SET/20 RED RETROSPOT PAPER NAPKINS + SET/6 RED SPOTTY PAPER CUPS","SET/6 RED SPOTTY PAPER PLATES",0.0145,0.89527,0.0162,31.04226,265,0,0
"POPPY'S PLAYHOUSE KITCHEN","POPPY'S PLAYHOUSE BEDROOM",0.01713,0.71789,0.02386,31.01183,313,0,0
"POPPY'S PLAYHOUSE BEDROOM","POPPY'S PLAYHOUSE KITCHEN",0.01713,0.73995,0.02315,31.01183,313,0,0
"BLUE HAPPY BIRTHDAY BUNTING","PINK HAPPY BIRTHDAY BUNTING",0.01434,0.67526,0.02123,30.77054,262,0,0
"PINK HAPPY BIRTHDAY BUNTING","BLUE HAPPY BIRTHDAY BUNTING",0.01434,0.65337,0.02194,30.77054,262,0,0
"SET OF 12 FAIRY CAKE BAKING CASES + SET OF 6 SNACK LOAF BAKING CASES","SET OF 12 MINI LOAF BAKING CASES",0.01034,0.74704,0.01385,30.74455,189,0,0
"SET/20 RED RETROSPOT PAPER NAPKINS + SET/6 RED SPOTTY PAPER PLATES","SET/6 RED SPOTTY PAPER CUPS",0.0145,0.71622,0.02025,30.72164,265,0,0
"FELTCRAFT CUSHION RABBIT","FELTCRAFT CUSHION BUTTERFLY",0.0122,0.57772,0.02112,30.33529,223,0,0
"FELTCRAFT CUSHION BUTTERFLY","FELTCRAFT CUSHION RABBIT",0.0122,0.6408,0.01904,30.33529,223,0,0
"REGENCY TEAPOT ROSES","REGENCY MILK JUG PINK",0.01237,0.54458,0.02271,30.24644,226,0,0
"REGENCY MILK JUG PINK","REGENCY TEAPOT ROSES",0.01237,0.68693,0.018,30.24644,226,0,0
"WOODEN TREE CHRISTMAS SCANDINAVIAN","WOODEN STAR CHRISTMAS SCANDINAVIAN",0.01538,0.83136,0.0185,29.72888,281,0,0
"WOODEN STAR CHRISTMAS SCANDINAVIAN","WOODEN TREE CHRISTMAS SCANDINAVIAN",0.01538,0.5499,0.02796,29.72888,281,0,0
"SET OF 3 WOODEN HEART DECORATIONS","SET OF 3 WOODEN TREE DECORATIONS",0.01155,0.47416,0.02435,29.57091,211,0,0
"SET OF 3 WOODEN TREE DECORATIONS","SET OF 3 WOODEN HEART DECORATIONS",0.01155,0.72014,0.01603,29.57091,211,0,0
"ROLL WRAP VINTAGE CHRISTMAS","ROLL WRAP 50'S CHRISTMAS",0.01045,0.56677,0.01844,29.25567,191,0,0
"ROLL WRAP 50'S CHRISTMAS","ROLL WRAP VINTAGE CHRISTMAS",0.01045,0.53955,0.01937,29.25567,191,0,0
"FELTCRAFT PRINCESS OLIVIA DOLL","FELTCRAFT PRINCESS LOLA DOLL",0.01034,0.65172,0.01587,28.83524,189,0,0
"FELTCRAFT PRINCESS LOLA DOLL","FELTCRAFT PRINCESS OLIVIA DOLL",0.01034,0.45763,0.0226,28.83524,189,0,0
"SMALL DOLLY MIX DESIGN ORANGE BOWL","SMALL CHOCOLATES PINK BOWL",0.01116,0.3871,0.02884,28.75374,204,0,0
"SMALL CHOCOLATES PINK BOWL","SMALL DOLLY MIX DESIGN ORANGE BOWL",0.01116,0.82927,0.01346,28.75374,204,0,0
"SET/6 RED SPOTTY PAPER PLATES","SET/6 RED SPOTTY PAPER CUPS",0.01915,0.66414,0.02884,28.48772,350,0,0
"SET/6 RED SPOTTY PAPER CUPS","SET/6 RED SPOTTY PAPER PLATES",0.01915,0.8216,0.02331,28.48772,350,0,0
"SET OF 6 TEA TIME BAKING CASES","SET OF 6 SNACK LOAF BAKING CASES",0.01133,0.54907,0.02063,28.34233,207,0,0
"SET OF 6 SNACK LOAF BAKING CASES","SET OF 6 TEA TIME BAKING CASES",0.01133,0.58475,0.01937,28.34233,207,0,0
"PINK VINTAGE PAISLEY PICNIC BAG","SCANDINAVIAN PAISLEY PICNIC BAG",0.01532,0.6846,0.02238,28.11154,280,0,0
"SCANDINAVIAN PAISLEY PICNIC BAG","PINK VINTAGE PAISLEY PICNIC BAG",0.01532,0.62921,0.02435,28.11154,280,0,0
"SET OF 3 WOODEN HEART DECORATIONS","SET OF 3 WOODEN STOCKING DECORATION",0.01193,0.48989,0.02435,28.06181,218,0,0
"SET OF 3 WOODEN STOCKING DECORATION","SET OF 3 WOODEN HEART DECORATIONS",0.01193,0.68339,0.01746,28.06181,218,0,0
"RED RETROSPOT CUP","BLUE POLKADOT CUP",0.01056,0.49871,0.02118,28.03967,193,0,0
"BLUE POLKADOT CUP","RED RETROSPOT CUP",0.01056,0.59385,0.01779,28.03967,193,0,0
"WOODEN STAR CHRISTMAS SCANDINAVIAN + WOODEN TREE CHRISTMAS SCANDINAVIAN","WOODEN HEART CHRISTMAS SCANDINAVIAN",0.01264,0.82206,0.01538,27.92115,231,0,0
"CHILDRENS CUTLERY POLKADOT BLUE + CHILDRENS CUTLERY RETROSPOT RED","CHILDRENS CUTLERY POLKADOT PINK",0.01045,0.81974,0.01275,27.53521,191,0,0
"WHITE SPOT BLUE CERAMIC DRAWER KNOB","BLUE SPOT CERAMIC DRAWER KNOB",0.01122,0.56319,0.01992,27.51634,205,0,0
"BLUE SPOT CERAMIC DRAWER KNOB","WHITE SPOT BLUE CERAMIC DRAWER KNOB",0.01122,0.54813,0.02047,27.51634,205,0,0
"SET OF 12 MINI LOAF BAKING CASES","SET OF 6 SNACK LOAF BAKING CASES",0.01286,0.52928,0.0243,27.32068,235,0,0
"SET OF 6 SNACK LOAF BAKING CASES","SET OF 12 MINI LOAF BAKING CASES",0.01286,0.66384,0.01937,27.32068,235,0,0
"BLUE SPOT CERAMIC DRAWER KNOB","RED SPOT CERAMIC DRAWER KNOB",0.01127,0.5508,0.02047,27.2759,206,0,0
"RED SPOT CERAMIC DRAWER KNOB","BLUE SPOT CERAMIC DRAWER KNOB",0.01127,0.55827,0.02019,27.2759,206,0,0
"SMALL MARSHMALLOWS PINK BOWL","SMALL DOLLY MIX DESIGN ORANGE BOWL",0.0191,0.78076,0.02446,27.0718,349,0,0
"SMALL DOLLY MIX DESIGN ORANGE BOWL","SMALL MARSHMALLOWS PINK BOWL",0.0191,0.66224,0.02884,27.0718,349,0,0
"CHILDRENS CUTLERY POLKADOT BLUE + CHILDRENS CUTLERY POLKADOT PINK","CHILDRENS CUTLERY RETROSPOT RED",0.01045,0.64094,0.01631,26.80066,191,0,0
"SET OF 12 MINI LOAF BAKING CASES + SET OF 6 SNACK LOAF BAKING CASES","SET OF 12 FAIRY CAKE BAKING CASES",0.01034,0.80426,0.01286,26.72029,189,0,0
"VINTAGE CREAM DOG FOOD CONTAINER","VINTAGE CREAM CAT FOOD CONTAINER",0.01034,0.45542,0.02271,26.4188,189,0,0
"VINTAGE CREAM CAT FOOD CONTAINER","VINTAGE CREAM DOG FOOD CONTAINER",0.01034,0.6,0.01724,26.4188,189,0,0
"RED SPOT CERAMIC DRAWER KNOB","RED STRIPE CERAMIC DRAWER KNOB",0.01275,0.63144,0.02019,26.40329,233,0,0
"RED STRIPE CERAMIC DRAWER KNOB","RED SPOT CERAMIC DRAWER KNOB",0.01275,0.53318,0.02392,26.40329,233,0,0
"WHITE SPOT RED CERAMIC DRAWER KNOB","RED SPOT CERAMIC DRAWER KNOB",0.01182,0.52941,0.02233,26.21664,216,0,0
"RED SPOT CERAMIC DRAWER KNOB","WHITE SPOT RED CERAMIC DRAWER KNOB",0.01182,0.58537,0.02019,26.21664,216,0,0
"SET OF 3 WOODEN SLEIGH DECORATIONS","SET OF 3 WOODEN HEART DECORATIONS",0.01034,0.63211,0.01636,25.95616,189,0,0
"SET OF 3 WOODEN HEART DECORATIONS","SET OF 3 WOODEN SLEIGH DECORATIONS",0.01034,0.42472,0.02435,25.95616,189,0,0
"WOODEN HEART CHRISTMAS SCANDINAVIAN","WOODEN STAR CHRISTMAS SCANDINAVIAN",0.02123,0.72119,0.02944,25.78923,388,0,0
"WOODEN STAR CHRISTMAS SCANDINAVIAN","WOODEN HEART CHRISTMAS SCANDINAVIAN",0.02123,0.7593,0.02796,25.78923,388,0,0
"CHILDRENS CUTLERY POLKADOT PINK","CHILDRENS CUTLERY POLKADOT BLUE",0.01631,0.54779,0.02977,25.53531,298,0,0
"CHILDRENS CUTLERY POLKADOT BLUE","CHILDRENS CUTLERY POLKADOT PINK",0.01631,0.7602,0.02145,25.53531,298,0,0
"FLORAL FOLK STATIONERY SET","MODERN FLORAL STATIONERY SET",0.01171,0.50353,0.02326,25.13932,214,0,0
"MODERN FLORAL STATIONERY SET","FLORAL FOLK STATIONERY SET",0.01171,0.5847,0.02003,25.13932,214,0,0
"FELTCRAFT PRINCESS LOLA DOLL","FELTCRAFT PRINCESS CHARLOTTE DOLL",0.01396,0.61743,0.0226,25.12775,255,0,0
"FELTCRAFT PRINCESS CHARLOTTE DOLL","FELTCRAFT PRINCESS LOLA DOLL",0.01396,0.56793,0.02457,25.12775,255,0,0
"SET OF 6 TEA TIME BAKING CASES","SET OF 12 MINI LOAF BAKING CASES",0.01259,0.61008,0.02063,25.10807,230,0,0
"SET OF 12 MINI LOAF BAKING CASES","SET OF 6 TEA TIME BAKING CASES",0.01259,0.51802,0.0243,25.10807,230,0,0
"WOODEN TREE CHRISTMAS SCANDINAVIAN","WOODEN HEART CHRISTMAS SCANDINAVIAN",0.01363,0.73669,0.0185,25.02132,249,0,0
"WOODEN HEART CHRISTMAS SCANDINAVIAN","WOODEN TREE CHRISTMAS SCANDINAVIAN",0.01363,0.46283,0.02944,25.02132,249,0,0
"CHILDRENS CUTLERY POLKADOT BLUE","CHILDRENS CUTLERY RETROSPOT RED",0.01275,0.59439,0.02145,24.85411,233,0,0
"CHILDRENS CUTLERY RETROSPOT RED","CHILDRENS CUTLERY POLKADOT BLUE",0.01275,0.53318,0.02392,24.85411,233,0,0
"BLUE STRIPE CERAMIC DRAWER KNOB","RED STRIPE CERAMIC DRAWER KNOB",0.01368,0.58824,0.02326,24.59685,250,0,0
"RED STRIPE CERAMIC DRAWER KNOB","BLUE STRIPE CERAMIC DRAWER KNOB",0.01368,0.57208,0.02392,24.59685,250,0,0
