"Rule","Consequent","Support","Confidence","Lift","MissedBaskets","AvgPrice","AvgQty","ExpectedUplift","PotentialRevenue"
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.03721,0.579,5.11,494,2.49391702846117,22.1968162083936,286,15833.55
"{JUMBO STORAGE BAG SUKI} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.03962,0.611,5.39,460,2.49391702846117,22.1968162083936,281,15558.64
"{LUNCH BAG SUKI DESIGN} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02216,0.316,2.78,878,2.49391702846117,22.1968162083936,277,15358.69
"{JUMBO BAG RED RETROSPOT} => {JUMBO STORAGE BAG SUKI}","JUMBO STORAGE BAG SUKI",0.03962,0.349,5.39,1349,2.7507347972973,11.4966216216216,471,14888.68
"{JUMBO BAG PINK POLKADOT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.04515,0.678,5.98,391,2.49391702846117,22.1968162083936,265,14675.03
"{GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01877,0.543,5.05,289,13.9797251908397,6.64020356234097,157,14567.25
"{NATURAL SLATE HEART CHALKBOARD} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.02282,0.334,2.72,831,3.2313000890472,15.6037399821906,278,13994.37
"{RED RETROSPOT CHARLOTTE BAG} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02326,0.412,3.63,607,2.49391702846117,22.1968162083936,250,13843.9
"{PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01811,0.554,5.15,267,13.9797251908397,6.64020356234097,148,13730.96
"{LUNCH BAG PINK POLKADOT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01987,0.333,2.94,726,2.49391702846117,22.1968162083936,242,13383
"{HEART OF WICKER SMALL} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.02156,0.329,2.68,803,3.2313000890472,15.6037399821906,264,13320.41
"{JUMBO BAG APPLES} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02988,0.559,4.93,430,2.49391702846117,22.1968162083936,240,13306.17
"{JUMBO BAG RED RETROSPOT} => {JUMBO SHOPPER VINTAGE RED PAISLEY}","JUMBO SHOPPER VINTAGE RED PAISLEY",0.03721,0.328,5.11,1393,2.68828790459966,10.6746166950596,457,13111.52
"{JUMBO STORAGE BAG SUKI} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.02818,0.435,6.54,669,2.60603618421053,17.2672697368421,291,13095.42
"{WOODEN PICTURE FRAME WHITE FINISH} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.02233,0.372,3.02,690,3.2313000890472,15.6037399821906,257,12941.9
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.02561,0.399,5.99,706,2.60603618421053,17.2672697368421,282,12675.98
"{BOX OF 24 COCKTAIL PARASOLS} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01182,0.37,3.45,367,13.9797251908397,6.64020356234097,136,12605.14
"{PAPER CHAIN KIT 50'S CHRISTMAS} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","PAPER CHAIN KIT VINTAGE CHRISTMAS",0.03021,0.479,10.72,601,3.36859068627451,12.8480392156863,288,12459.34
"{JUMBO BAG ALPHABET} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02266,0.458,4.04,490,2.49391702846117,22.1968162083936,224,12423.22
"{GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01647,0.556,5.17,240,13.9797251908397,6.64020356234097,133,12387
"{JUMBO BAG VINTAGE LEAF} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02326,0.484,4.26,454,2.49391702846117,22.1968162083936,220,12163.93
"{JUMBO  BAG BAROQUE BLACK WHITE} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.03201,0.631,5.56,342,2.49391702846117,22.1968162083936,216,11946.16
"{JUMBO BAG PINK VINTAGE PAISLEY} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02835,0.599,5.28,347,2.49391702846117,22.1968162083936,208,11506.12
"{CHARLOTTE BAG SUKI DESIGN} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01773,0.369,3.25,555,2.49391702846117,22.1968162083936,205,11336.84
"{JUMBO BAG WOODLAND ANIMALS} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02928,0.621,5.47,327,2.49391702846117,22.1968162083936,203,11241.18
"{WOODEN FRAME ANTIQUE WHITE} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.01866,0.352,2.86,628,3.2313000890472,15.6037399821906,221,11145.72
"{HEART OF WICKER LARGE} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.01965,0.389,3.16,564,3.2313000890472,15.6037399821906,219,11062.03
"{JAM MAKING SET PRINTED} => {JAM MAKING SET WITH JARS}","JAM MAKING SET WITH JARS",0.02583,0.41,6.63,680,5.07986725663717,7.67787610619469,279,10873.92
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.02337,0.347,6.5,803,2.57344262295082,15.0389344262295,279,10783.92
"{RED TOADSTOOL LED NIGHT LIGHT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01631,0.353,3.12,545,2.49391702846117,22.1968162083936,192,10649.86
"{WOODLAND CHARLOTTE BAG} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01631,0.358,3.16,534,2.49391702846117,22.1968162083936,191,10582.71
"{JUMBO BAG STRAWBERRY} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02933,0.652,5.75,286,2.49391702846117,22.1968162083936,186,10322.53
"{JUMBO  BAG BAROQUE BLACK WHITE} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.02266,0.447,6.71,513,2.60603618421053,17.2672697368421,229,10318.8
"{JUMBO BAG PINK POLKADOT} => {JUMBO  BAG BAROQUE BLACK WHITE}","JUMBO  BAG BAROQUE BLACK WHITE",0.02266,0.34,6.71,802,2.61653721682848,14.4174757281553,273,10286.54
"{JUMBO BAG APPLES} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.01997,0.374,5.62,611,2.60603618421053,17.2672697368421,229,10282.93
"{REGENCY TEA PLATE ROSES} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01127,0.464,4.31,238,13.9797251908397,6.64020356234097,110,10251.21
"{JUMBO STORAGE BAG SUKI} => {JUMBO  BAG BAROQUE BLACK WHITE}","JUMBO  BAG BAROQUE BLACK WHITE",0.02309,0.356,7.03,762,2.61653721682848,14.4174757281553,271,10233.43
"{RECYCLING BAG RETROSPOT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02271,0.556,4.9,332,2.49391702846117,22.1968162083936,185,10218.46
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO  BAG BAROQUE BLACK WHITE}","JUMBO  BAG BAROQUE BLACK WHITE",0.02304,0.359,7.07,753,2.61653721682848,14.4174757281553,270,10197.78
"{HEART OF WICKER SMALL} => {HEART OF WICKER LARGE}","HEART OF WICKER LARGE",0.02698,0.412,8.15,704,3.2897616468039,10.6533044420368,290,10165.26
"{LUNCH BAG VINTAGE DOILY} => {JUMBO BAG VINTAGE DOILY}","JUMBO BAG VINTAGE DOILY",0.02758,0.46,6.83,592,2.2780162601626,16.3845528455285,272,10164.15
"{PAPER BUNTING RETROSPOT} => {PARTY BUNTING}","PARTY BUNTING",0.01335,0.306,3.35,553,5.80916167664671,10.1311377245509,169,9959.06
"{JUMBO STORAGE BAG SUKI} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.02058,0.318,5.95,808,2.57344262295082,15.0389344262295,257,9944.2
"{JUMBO BAG PINK POLKADOT} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.01997,0.3,5.62,851,2.57344262295082,15.0389344262295,255,9880.58
"{PAPER CHAIN KIT VINTAGE CHRISTMAS} => {PAPER CHAIN KIT 50'S CHRISTMAS}","PAPER CHAIN KIT 50'S CHRISTMAS",0.03021,0.676,10.72,264,3.37515177797051,16.3399826539462,178,9842.28
"{JUMBO BAG SCANDINAVIAN BLUE PAISLEY} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02961,0.672,5.92,264,2.49391702846117,22.1968162083936,177,9820.78
"{JUMBO BAG PINK VINTAGE PAISLEY} => {JUMBO BAG STRAWBERRY}","JUMBO BAG STRAWBERRY",0.01576,0.333,7.4,577,2.41671532846715,21.0109489051095,192,9756.44
"{JUMBO BAG WOODLAND ANIMALS} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.02348,0.498,7.48,433,2.60603618421053,17.2672697368421,216,9703.34
"{CHARLOTTE BAG PINK POLKADOT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01532,0.377,3.33,462,2.49391702846117,22.1968162083936,174,9641.75
"{JUMBO BAG PINK VINTAGE PAISLEY} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.02074,0.438,6.58,486,2.60603618421053,17.2672697368421,213,9578.87
"{REGENCY TEAPOT ROSES} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01237,0.545,5.06,189,13.9797251908397,6.64020356234097,103,9561.77
"{JUMBO STORAGE BAG SKULLS} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02266,0.59,5.2,288,2.49391702846117,22.1968162083936,170,9406.26
"{JUMBO BAG PINK POLKADOT} => {JUMBO STORAGE BAG SUKI}","JUMBO STORAGE BAG SUKI",0.02818,0.424,6.54,701,2.7507347972973,11.4966216216216,297,9399.46
"{JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT} => {JUMBO BAG STRAWBERRY}","JUMBO BAG STRAWBERRY",0.01527,0.338,7.52,546,2.41671532846715,21.0109489051095,185,9370.88
"{STRAWBERRY CHARLOTTE BAG} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.0145,0.367,3.24,457,2.49391702846117,22.1968162083936,168,9284.42
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG SCANDINAVIAN BLUE PAISLEY}","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.022,0.342,7.77,772,2.70037267080745,12.9826086956522,264,9256.12
"{JUMBO STORAGE BAG SUKI} => {JUMBO BAG WOODLAND ANIMALS}","JUMBO BAG WOODLAND ANIMALS",0.02457,0.379,8.04,735,2.93349187935035,11.3120649651972,279,9243.86
"{JUMBO BAG PINK POLKADOT} => {JUMBO BAG WOODLAND ANIMALS}","JUMBO BAG WOODLAND ANIMALS",0.02348,0.353,7.48,787,2.93349187935035,11.3120649651972,278,9218.84
"{JUMBO BAG PINK POLKADOT} => {JUMBO BAG SCANDINAVIAN BLUE PAISLEY}","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.02091,0.314,7.13,834,2.70037267080745,12.9826086956522,262,9180.82
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO STORAGE BAG SUKI}","JUMBO STORAGE BAG SUKI",0.02868,0.446,6.89,650,2.7507347972973,11.4966216216216,290,9167.84
"{LUNCH BAG APPLE DESIGN} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.01997,0.353,6.6,670,2.57344262295082,15.0389344262295,237,9153.37
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG PINK VINTAGE PAISLEY}","JUMBO BAG PINK VINTAGE PAISLEY",0.02282,0.355,7.5,757,2.67275144508671,12.7028901734104,269,9124
"{RECIPE BOX PANTRY YELLOW DESIGN} => {JAM MAKING SET WITH JARS}","JAM MAKING SET WITH JARS",0.01833,0.302,4.88,774,5.07986725663717,7.67787610619469,234,9116.78
"{JUMBO BAG 50'S CHRISTMAS} => {PAPER CHAIN KIT 50'S CHRISTMAS}","PAPER CHAIN KIT 50'S CHRISTMAS",0.01417,0.363,5.76,454,3.37515177797051,16.3399826539462,165,9088.82
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG ALPHABET}","JUMBO BAG ALPHABET",0.02025,0.301,6.08,860,2.39287610619469,14.6272123893805,259,9060.39
"{JUMBO BAG SCANDINAVIAN BLUE PAISLEY} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.02091,0.475,7.13,423,2.60603618421053,17.2672697368421,201,9041.45
"{JUMBO BAG 50'S CHRISTMAS} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01385,0.355,3.13,460,2.49391702846117,22.1968162083936,163,9039.8
"{JUMBO BAG STRAWBERRY} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.01904,0.423,6.36,474,2.60603618421053,17.2672697368421,201,9022.42
"{STRAWBERRY CHARLOTTE BAG} => {PARTY BUNTING}","PARTY BUNTING",0.01204,0.305,3.33,502,5.80916167664671,10.1311377245509,153,9011.05
"{STRAWBERRY CERAMIC TRINKET BOX} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.01423,0.315,2.56,566,3.2313000890472,15.6037399821906,178,8989.45
"{JUMBO BAG APPLES} => {JUMBO BAG VINTAGE DOILY}","JUMBO BAG VINTAGE DOILY",0.02337,0.438,6.5,549,2.2780162601626,16.3845528455285,240,8975.07
"{JUMBO BAG SPACEBOY DESIGN} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.02348,0.626,5.52,256,2.49391702846117,22.1968162083936,160,8871.29
"{JUMBO BAG PINK POLKADOT} => {JUMBO BAG PINK VINTAGE PAISLEY}","JUMBO BAG PINK VINTAGE PAISLEY",0.02074,0.312,6.58,837,2.67275144508671,12.7028901734104,261,8866.27
"{JUMBO BAG WOODLAND ANIMALS} => {JUMBO BAG OWLS}","JUMBO BAG OWLS",0.01543,0.327,9.2,580,2.79323076923077,16.5184615384615,190,8750.89
"{JUMBO STORAGE BAG SUKI} => {JUMBO BAG SCANDINAVIAN BLUE PAISLEY}","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.01948,0.301,6.83,828,2.70037267080745,12.9826086956522,249,8737.41
"{HOME BUILDING BLOCK WORD} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.01401,0.33,2.68,520,3.2313000890472,15.6037399821906,172,8652.13
"{JUMBO BAG SCANDINAVIAN BLUE PAISLEY} => {JUMBO BAG STRAWBERRY}","JUMBO BAG STRAWBERRY",0.01341,0.304,6.77,560,2.41671532846715,21.0109489051095,170,8644.36
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG WOODLAND ANIMALS}","JUMBO BAG WOODLAND ANIMALS",0.02134,0.332,7.04,784,2.93349187935035,11.3120649651972,260,8637.36
"{JUMBO BAG OWLS} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.0214,0.602,5.3,259,2.49391702846117,22.1968162083936,156,8631.16
"{BATHROOM METAL SIGN} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01335,0.363,3.2,429,2.49391702846117,22.1968162083936,156,8620.58
"{CHOCOLATE HOT WATER BOTTLE} => {HOT WATER BOTTLE TEA AND SYMPATHY}","HOT WATER BOTTLE TEA AND SYMPATHY",0.01828,0.392,11.18,518,5.03184087363495,8.42121684867395,203,8604.34
"{JUMBO BAG ALPHABET} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.0214,0.433,8.1,513,2.57344262295082,15.0389344262295,222,8596.8
"{JUMBO STORAGE BAG SUKI} => {JUMBO BAG PINK VINTAGE PAISLEY}","JUMBO BAG PINK VINTAGE PAISLEY",0.02003,0.309,6.53,818,2.67275144508671,12.7028901734104,253,8581.69
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG VINTAGE LEAF}","JUMBO BAG VINTAGE LEAF",0.02824,0.42,8.72,714,2.29795221843003,12.4334470989761,300,8568.01
"{LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01368,0.382,3.36,405,2.49391702846117,22.1968162083936,155,8564.28
"{JUMBO BAG ALPHABET} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.01489,0.301,4.52,632,2.60603618421053,17.2672697368421,190,8560.27
"{LUNCH BAG SUKI DESIGN} => {LUNCH BAG RED RETROSPOT}","LUNCH BAG RED RETROSPOT",0.03585,0.511,5.96,628,2.13269181585678,12.3925831202046,321,8481.46
"{60 CAKE CASES VINTAGE CHRISTMAS} => {PAPER CHAIN KIT 50'S CHRISTMAS}","PAPER CHAIN KIT 50'S CHRISTMAS",0.01483,0.438,6.94,348,3.37515177797051,16.3399826539462,152,8406.17
"{LUNCH BAG  BLACK SKULL.} => {LUNCH BAG RED RETROSPOT}","LUNCH BAG RED RETROSPOT",0.03508,0.504,5.89,630,2.13269181585678,12.3925831202046,318,8391.91
"{JUMBO STORAGE BAG SUKI} => {JUMBO SHOPPER VINTAGE RED PAISLEY}","JUMBO SHOPPER VINTAGE RED PAISLEY",0.02868,0.443,6.89,660,2.68828790459966,10.6746166950596,292,8390.27
"{JUMBO BAG PINK POLKADOT} => {JUMBO SHOPPER VINTAGE RED PAISLEY}","JUMBO SHOPPER VINTAGE RED PAISLEY",0.02561,0.385,5.99,748,2.68828790459966,10.6746166950596,288,8264
"{JUMBO BAG VINTAGE LEAF} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.01992,0.414,7.75,515,2.57344262295082,15.0389344262295,213,8251.62
"{JUMBO BAG PEARS} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01587,0.488,4.3,304,2.49391702846117,22.1968162083936,148,8212.32
"{JUMBO BAG APPLES} => {JUMBO BAG ALPHABET}","JUMBO BAG ALPHABET",0.0214,0.401,8.1,585,2.39287610619469,14.6272123893805,235,8210.73
"{RED HANGING HEART T-LIGHT HOLDER} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.0272,0.673,5.48,241,3.2313000890472,15.6037399821906,162,8177.83
"{SET OF 20 VINTAGE CHRISTMAS NAPKINS} => {PAPER CHAIN KIT 50'S CHRISTMAS}","PAPER CHAIN KIT 50'S CHRISTMAS",0.0139,0.416,6.6,356,3.37515177797051,16.3399826539462,148,8167.48
"{JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI} => {JUMBO BAG STRAWBERRY}","JUMBO BAG STRAWBERRY",0.01319,0.333,7.4,483,2.41671532846715,21.0109489051095,161,8167
"{JUMBO BAG ALPHABET} => {JUMBO BAG VINTAGE DOILY}","JUMBO BAG VINTAGE DOILY",0.02025,0.409,6.08,534,2.2780162601626,16.3845528455285,218,8151.85
"{ALARM CLOCK BAKELIKE RED} => {ALARM CLOCK BAKELIKE PINK}","ALARM CLOCK BAKELIKE PINK",0.02572,0.448,10.45,580,4.58228607918263,6.81353767560664,260,8112.62
"{RECYCLING BAG RETROSPOT} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.01636,0.4,6.01,448,2.60603618421053,17.2672697368421,179,8063.84
"{REGENCY TEA PLATE ROSES} => {REGENCY TEAPOT ROSES}","REGENCY TEAPOT ROSES",0.01089,0.448,19.73,245,11.1413253012048,6.59036144578313,110,8059.17
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG SUKI DESIGN}","LUNCH BAG SUKI DESIGN",0.03585,0.419,5.96,909,2.16708495713172,9.69134840218238,381,7999.04
"{PLEASE ONE PERSON METAL SIGN} => {GIN + TONIC DIET METAL SIGN}","GIN + TONIC DIET METAL SIGN",0.01625,0.356,8.04,538,2.7705198019802,15.0606435643564,192,7991.66
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG APPLE DESIGN}","LUNCH BAG APPLE DESIGN",0.02665,0.311,5.5,1077,2.04046376811594,11.6772946859903,335,7980.81
"{JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.0226,0.57,8.57,311,2.60603618421053,17.2672697368421,177,7977
"{RED RETROSPOT SHOPPER BAG} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01576,0.501,4.42,287,2.49391702846117,22.1968162083936,144,7959.62
"{JUMBO BAG VINTAGE LEAF} => {JUMBO BAG VINTAGE DOILY}","JUMBO BAG VINTAGE DOILY",0.02824,0.587,8.72,363,2.2780162601626,16.3845528455285,213,7953.09
"{BATHROOM METAL SIGN} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.01374,0.373,3.03,422,3.2313000890472,15.6037399821906,157,7936.47
"{RECIPE BOX PANTRY YELLOW DESIGN} => {SET OF 3 CAKE TINS PANTRY DESIGN}","SET OF 3 CAKE TINS PANTRY DESIGN",0.02156,0.355,4.72,715,5.84500726744186,5.34811046511628,254,7934.5
"{LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.01259,0.38,3.35,376,2.49391702846117,22.1968162083936,143,7909.41
"{JUMBO STORAGE BAG SKULLS} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.01811,0.472,7.09,371,2.60603618421053,17.2672697368421,175,7879.89
"{JAM MAKING SET WITH JARS} => {SET OF 3 CAKE TINS PANTRY DESIGN}","SET OF 3 CAKE TINS PANTRY DESIGN",0.0208,0.336,4.47,750,5.84500726744186,5.34811046511628,252,7877.46
"{HANGING HEART JAR T-LIGHT HOLDER} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.01237,0.313,2.54,497,3.2313000890472,15.6037399821906,156,7843.44
"{JUMBO BAG SPACEBOY DESIGN} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.01855,0.495,7.44,346,2.60603618421053,17.2672697368421,171,7707
"{LUNCH BAG SPACEBOY DESIGN} => {LUNCH BAG RED RETROSPOT}","LUNCH BAG RED RETROSPOT",0.03065,0.484,5.65,597,2.13269181585678,12.3925831202046,289,7636.77
"{JUMBO BAG WOODLAND ANIMALS} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.01658,0.352,6.58,559,2.57344262295082,15.0389344262295,197,7615.28
"{JUMBO  BAG BAROQUE BLACK WHITE} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.01554,0.306,5.74,643,2.57344262295082,15.0389344262295,197,7614.9
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG  BLACK SKULL.}","LUNCH BAG  BLACK SKULL.",0.03508,0.41,5.89,923,2.10808025177026,9.51376868607396,378,7589.71
"{LUNCH BAG CARS BLUE} => {LUNCH BAG RED RETROSPOT}","LUNCH BAG RED RETROSPOT",0.03037,0.483,5.64,594,2.13269181585678,12.3925831202046,287,7582.69
"{JAM MAKING SET PRINTED} => {SET OF 3 CAKE TINS PANTRY DESIGN}","SET OF 3 CAKE TINS PANTRY DESIGN",0.01899,0.301,4,805,5.84500726744186,5.34811046511628,242,7574.39
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG CARS BLUE}","LUNCH BAG CARS BLUE",0.03037,0.355,5.64,1009,2.06529155787641,10.2254134029591,358,7564.53
"{JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.02069,0.556,8.35,302,2.60603618421053,17.2672697368421,168,7555.89
"{BOX OF 24 COCKTAIL PARASOLS} => {PARTY BUNTING}","PARTY BUNTING",0.0104,0.326,3.57,393,5.80916167664671,10.1311377245509,128,7540.18
"{JUMBO BAG PINK VINTAGE PAISLEY} => {JUMBO BAG SCANDINAVIAN BLUE PAISLEY}","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.02184,0.461,10.47,466,2.70037267080745,12.9826086956522,215,7531.34
"{SCOTTIE DOG HOT WATER BOTTLE} => {CHOCOLATE HOT WATER BOTTLE}","CHOCOLATE HOT WATER BOTTLE",0.01702,0.404,8.66,459,6.02895539906103,6.67605633802817,185,7463.73
